gmkR7hN4D1fQguey5X5V48d3PhO2,"{'contribution': 'Weak', 'notes': 'team ups, robot malfunction VOID THIS INFO', 'fillChoice': '', 'cargoSuccess': '', 'cargoSuccessTeleop': '', 'strongMedium': '', 'teamDBRef': 'team-1675', 'hiRocketSuccessTeleop': '', 'speed': 'Slow', 'lowRocketSuccess': '', 'match': 'match-1', 'size': 'Medium', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab II', 'hiRocketSuccess': ''}",,
strongMediumTeleop,,Hatch,
jouGPhPF0qME5wNIbd86MzYFsGw2,"{'notes': '', 'contribution': 'Weak', 'cargoSuccess': '', 'fillChoice': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-1675', 'speed': '', 'hiRocketSuccessTeleop': '', 'lowRocketSuccess': '', 'match': 'match-1', 'size': 'Large', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab II', 'hiRocketSuccess': ''}",,
size,,IDK,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,,"{'notes': '', 'contribution': 'Equal', 'fillChoice': 'Cargo', 'strategy': 'pinning opponent and placing hatches on rocket', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-1675', 'speed': 'Medium', 'hiRocketSuccessTeleop': 'High', 'size': 'Large', 'match': 'match-54', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': 'Hatch', 'endingHab': 'Hab 1', 'functional': 'Yes', 'lowRocketSuccessTeleop': 'High', 'startingHatch': 'Hab I'}"
speed,,slow,
strategy,,Hatch panels for rocket,
teamDBRef,,team-1675,
sandstormCross,,None,
sandstormCrossBonus,,None,
lowRocketSuccessTeleop,,High,
cargoSuccessTeleop,,N/A,
functional,,Yes,
fillChoice,,None,
strongMedium,,Neither,
fillChoiceTeleop,,Low Rocket,
contrubution,,Weak,
hiRocketSuccessTeleop,,N/A,
match,,match-26,
endingHab,,L1,
startingHatch,,IDK,
