sandstormRocketCargoFailure,0,,
teleOpRocketCargoSuccess,0,,
sandstormRocketHatchSuccess,0,,
teleOpCargoShipHatchFailure,0,,
sandstormRocketCargoSuccess,0,,
jouGPhPF0qME5wNIbd86MzYFsGw2,,"{'notes': '', 'contribution': 'Weak', 'cargoSuccess': 'Low', 'fillChoice': 'Cargo', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'Mid', 'teamDBRef': 'team-2039', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'lowRocketSuccess': 'N/A', 'match': 'match-3', 'size': 'Medium', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Hatch', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab II', 'hiRocketSuccess': 'N/A'}",
speed,slow,,
teamDBRef,team-2039,,
sandstormCross,L2,,
teleOpCargoShipHatchSuccess,0,,
teleOpRocketHatchSuccess,0,,
sandstormCargoShipCargoFailure,0,,
teleOpRocketHatchFailure,0,,
teleOpRocketCargoFailure,0,,
sandstormCargoShipHatchSuccess,0,,
mf0oyBolLjZgC9wALSwSb6IvE0T2,,,"{'notes': 'robot was kind of fast and was good at what it did', 'contribution': 'Equal', 'fillChoice': 'Cargo', 'strategy': '', 'strongMedium': 'Ball', 'cargoSuccessTeleop': 'Mid', 'teamDBRef': 'team-2039', 'speed': 'Medium', 'hiRocketSuccessTeleop': 'N/A', 'size': 'Large', 'match': 'match-31', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': 'Ball', 'endingHab': 'idk', 'functional': 'Yes', 'lowRocketSuccessTeleop': 'Mid', 'startingHatch': 'idk'}"
sandstormCargoShipCargoSuccess,0,,
teleOpCargoShipCargoFailure,0,,
sandstormRocketHatchFailure,0,,
sandstormCargoShipHatchFailure,0,,
HABClimb,L1,,
match,match-17,,
teleOpCargoShipCargoSuccess,1,,
