sandstormRocketCargoFailure,0,,,
teleOpRocketCargoSuccess,0,,,
sandstormRocketHatchSuccess,0,,,
strongMediumTeleop,,,Neither,
teleOpCargoShipHatchFailure,0,,,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,"{'notes': '', 'contribution': 'Weak', 'fillChoice': '', 'strategy': 'did not do anything ', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-6906', 'speed': 'Slow', 'hiRocketSuccessTeleop': 'N/A', 'size': 'Jumbo', 'match': 'match-12', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': '', 'endingHab': 'Hab 1', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",,,
sandstormRocketCargoSuccess,0,,,
jouGPhPF0qME5wNIbd86MzYFsGw2,,"{'notes': 'plays defense', 'contribution': 'Equal', 'fillChoice': 'None', 'strategy': 'very strong defensive robot also had limited capability to attach hatch panels', 'strongMedium': 'Neither', 'cargoSuccessTeleop': 'Low', 'teamDBRef': 'team-6906', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'size': 'Jumbo', 'match': 'match-29', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Hatch', 'endingHab': '', 'functional': 'Yes', 'lowRocketSuccessTeleop': 'Mid', 'startingHatch': 'Hab I'}",,
size,,,Medium,
speed,slow,,slow,
strategy,,,Defense,
teamDBRef,team-6906,,team-6906,
sandstormCross,L1,,L1,
sandstormCrossBonus,,,L1,
teleOpCargoShipHatchSuccess,0,,,
teleOpRocketHatchSuccess,0,,,
sandstormCargoShipCargoFailure,0,,,
lowRocketSuccessTeleop,,,N/A,
teleOpRocketHatchFailure,0,,,
teleOpRocketCargoFailure,0,,,
cargoSuccessTeleop,,,N/A,
sandstormCargoShipHatchSuccess,0,,,
startingHatch,,,Hab I,
fillChoice,,,None,
functional,,,Yes,
sandstormCargoShipCargoSuccess,0,,,
strongMedium,,,Neither,
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,,,"{'contribution': 'Weak', 'notes': 'defensive but miserably slow', 'fillChoice': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-6906', 'speed': 'Slow', 'hiRocketSuccessTeleop': '', 'match': 'match-7', 'size': '', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': 'Neither', 'endingHab': 'None', 'functional': 'Sorta', 'lowRocketSuccessTeleop': 'Low', 'startingHatch': 'None'}"
teleOpCargoShipCargoFailure,0,,,
sandstormRocketHatchFailure,0,,,
sandstormCargoShipHatchFailure,0,,,
fillChoiceTeleop,,,None,
contrubution,,,Weak,
HABClimb,L1,,,
match,match-12,,match-53,
hiRocketSuccessTeleop,,,N/A,
endingHab,,,L1,
teleOpCargoShipCargoSuccess,0,,,
