sandstormRocketCargoFailure,0,,
teleOpRocketCargoSuccess,0,,
sandstormRocketHatchSuccess,0,,
strongMediumTeleop,,,Neither
teleOpCargoShipHatchFailure,0,,
sandstormRocketCargoSuccess,0,,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,"{'notes': '', 'contribution': 'Weak', 'fillChoice': '', 'strategy': 'the robot didn’t do anyrhing', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-3110', 'speed': 'Slow', 'hiRocketSuccessTeleop': '', 'size': 'Small', 'match': 'match-26', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': 'Hab 1', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",
size,,,IDK
speed,slow,,slow
strategy,,,Limited movement
teamDBRef,team-3110,,team-3110
sandstormCross,None,,None
sandstormCrossBonus,,,None
teleOpCargoShipHatchSuccess,0,,
teleOpRocketHatchSuccess,0,,
sandstormCargoShipCargoFailure,0,,
lowRocketSuccessTeleop,,,N/A
teleOpRocketHatchFailure,0,,
teleOpRocketCargoFailure,0,,
cargoSuccessTeleop,,,N/A
sandstormCargoShipHatchSuccess,0,,
startingHatch,,,Hab I
9fv7QhcLPsfU59sRrPq7LcJlD8J3,"{'contribution': '', 'notes': 'wasn’t on the field ', 'fillChoice': '', 'strategy': '', 'cargoSuccessTeleop': '', 'strongMedium': '', 'teamDBRef': 'team-3110', 'speed': '', 'hiRocketSuccessTeleop': '', 'size': '', 'match': 'match-15', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': '', 'functional': '', 'startingHatch': '', 'lowRocketSuccessTeleop': ''}",,
fillChoice,,,None
sandstormCargoShipCargoSuccess,0,,
strongMedium,,,Neither
functional,,,No
teleOpCargoShipCargoFailure,0,,
sandstormRocketHatchFailure,0,,
sandstormCargoShipHatchFailure,0,,
fillChoiceTeleop,,,None
contrubution,,,Weak
HABClimb,None,,
match,match-15,,match-40
hiRocketSuccessTeleop,,,N/A
endingHab,,,None
teleOpCargoShipCargoSuccess,0,,
