sandstormRocketCargoFailure,0,0
teleOpRocketCargoSuccess,0,0
sandstormRocketHatchSuccess,0,0
teleOpCargoShipHatchFailure,0,0
sandstormRocketCargoSuccess,0,0
speed,Medium,slow
teamDBRef,team-2136,team-2136
sandstormCross,None,None
teleOpCargoShipHatchSuccess,0,0
teleOpRocketHatchSuccess,0,0
sandstormCargoShipCargoFailure,0,0
teleOpRocketHatchFailure,0,0
teleOpRocketCargoFailure,0,0
sandstormCargoShipHatchSuccess,0,0
sandstormCargoShipCargoSuccess,0,0
teleOpCargoShipCargoFailure,0,0
sandstormRocketHatchFailure,0,0
sandstormCargoShipHatchFailure,0,0
HABClimb,None,None
match,match-14,match-9
teleOpCargoShipCargoSuccess,0,0
