sandstormRocketCargoFailure,0,
teleOpRocketCargoSuccess,0,
sandstormRocketHatchSuccess,0,
teleOpCargoShipHatchFailure,0,
sandstormRocketCargoSuccess,0,
speed,Medium,
teamDBRef,team-5148,
sandstormCross,L1,
teleOpCargoShipHatchSuccess,0,
teleOpRocketHatchSuccess,0,
sandstormCargoShipCargoFailure,0,
teleOpRocketHatchFailure,0,
teleOpRocketCargoFailure,0,
sandstormCargoShipHatchSuccess,0,
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'contribution': 'Weak', 'notes': 'giant, cumbersome grabber ', 'fillChoice': 'Low Rocket', 'strategy': 'somewhat defensive, concentrate on cargo balls', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Hatch', 'teamDBRef': 'team-5148', 'hiRocketSuccessTeleop': '', 'speed': '', 'match': 'match-33', 'size': 'Jumbo', 'fillChoiceTeleop': '', 'strongMediumTeleop': 'Ball', 'endingHab': '', 'functional': 'No', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}"
sandstormCargoShipCargoSuccess,0,
teleOpCargoShipCargoFailure,0,
sandstormRocketHatchFailure,0,
sandstormCargoShipHatchFailure,1,
HABClimb,L1,
match,match-10,
teleOpCargoShipCargoSuccess,2,
