strongMediumTeleop,,,,Ball
jouGPhPF0qME5wNIbd86MzYFsGw2,,,"{'contribution': '', 'notes': 'starts with hatchū', 'fillChoice': 'Cargo', 'strategy': 'best robot I have seen this tournament, amazing all-rounder even played some defense, almost too good to be true', 'cargoSuccessTeleop': 'High', 'strongMedium': 'Hatch', 'teamDBRef': 'team-2338', 'speed': '', 'hiRocketSuccessTeleop': 'High', 'size': 'Idk', 'match': 'match-30', 'fillChoiceTeleop': 'High Rocket', 'strongMediumTeleop': 'Both', 'endingHab': 'Hab 3', 'functional': 'Yes', 'startingHatch': 'Hab I', 'lowRocketSuccessTeleop': 'High'}",
size,,,,Medium
speed,,,,Medium
strategy,,,,Rocket
teamDBRef,,,,team-2338
sandstormCross,,,,L1
sandstormCrossBonus,,,,L1
lowRocketSuccessTeleop,,,,High
cargoSuccessTeleop,,,,N/A
fillChoice,,,,Low Rocket
functional,,,,Yes
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'contribution': 'Great', 'notes': '', 'cargoSuccess': '', 'fillChoice': '', 'cargoSuccessTeleop': '', 'strongMedium': 'Hatch', 'teamDBRef': 'team-2338', 'speed': '', 'hiRocketSuccessTeleop': '', 'lowRocketSuccess': '', 'size': 'Large', 'match': 'match-2', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'startingHatch': '', 'lowRocketSuccessTeleop': '', 'hiRocketSuccess': 'High'}",,
strongMedium,,,,Hatch
fillChoiceTeleop,,,,High Rocket
contrubution,,,,Strong
TGTz9IhKPoQnv6CjEyHEJeqwhss1,"{'contribution': 'Weak', 'notes': '', 'fillChoice': 'Cargo', 'strategy': '', 'strongMedium': 'Ball', 'cargoSuccessTeleop': 'Mid', 'teamDBRef': 'team-2338', 'speed': 'Slow', 'hiRocketSuccessTeleop': '', 'match': 'match-15', 'size': '', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'Hab 3', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",,,
5nO8yj26oEUhd3mS3noHWQNvqSE3,,,"{'notes': '', 'contribution': 'Great', 'fillChoice': 'High Rocket', 'strategy': '', 'strongMedium': 'Both', 'cargoSuccessTeleop': 'High', 'teamDBRef': 'team-2338', 'speed': 'Fast', 'hiRocketSuccessTeleop': 'High', 'size': 'Large', 'match': 'match-30', 'fillChoiceTeleop': 'High Rocket', 'strongMediumTeleop': 'Both', 'endingHab': 'Hab 3', 'functional': 'Yes', 'lowRocketSuccessTeleop': 'High', 'startingHatch': ''}",
hiRocketSuccessTeleop,,,,High
match,,,,match-51
endingHab,,,,L3
startingHatch,,,,Hab I
