sandstormRocketCargoFailure,0,,,,,
teleOpRocketCargoSuccess,0,,,,,
sandstormRocketHatchSuccess,0,,,,,
strongMediumTeleop,,,Hatch,,Hatch,
teleOpCargoShipHatchFailure,1,,,,,
sandstormRocketCargoSuccess,0,,,,,
jouGPhPF0qME5wNIbd86MzYFsGw2,,"{'notes': 'tried to let another robot climb to have 3', 'contribution': 'Weak', 'cargoSuccess': 'Low', 'fillChoice': 'Cargo', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'Low', 'teamDBRef': 'team-4702', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'lowRocketSuccess': '', 'size': 'Large', 'match': 'match-2', 'fillChoiceTeleop': '', 'strongMediumTeleop': 'Hatch', 'lowRocketSuccessTeleop': 'Low', 'startingHatch': 'Hab I', 'hiRocketSuccess': 'N/A'}",,,,
size,,,Small,,Large,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,,,,,"{'contribution': 'Weak', 'notes': '', 'fillChoice': 'Cargo', 'strategy': 'hatch on cargi', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Hatch', 'teamDBRef': 'team-4702', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'size': 'Medium', 'match': 'match-48', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Hatch', 'endingHab': '', 'functional': 'Yes', 'startingHatch': 'Hab II', 'lowRocketSuccessTeleop': ''}"
speed,Medium,,Fast,,slow,
strategy,,,,,,
teamDBRef,team-4702,,team-4702,,team-4702,
sandstormCross,L1,,L1,,L1,
sandstormCrossBonus,,,L1,,L1,
teleOpCargoShipHatchSuccess,1,,,,,
teleOpRocketHatchSuccess,2,,,,,
sandstormCargoShipCargoFailure,0,,,,,
lowRocketSuccessTeleop,,,N/A,,N/A,
teleOpRocketHatchFailure,0,,,,,
teleOpRocketCargoFailure,0,,,,,
klQQqapPjwO3jnpN8Dieequh3OI3,,,,"{'contribution': 'Weak', 'notes': 'has a ramp to hab 3 for another team to climb on', 'fillChoice': '', 'strategy': '', 'cargoSuccessTeleop': 'Low', 'strongMedium': '', 'teamDBRef': 'team-4702', 'speed': 'Slow', 'hiRocketSuccessTeleop': '', 'size': 'Medium', 'match': 'match-31', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Hatch', 'endingHab': 'Hab 1', 'functional': '', 'startingHatch': 'Hab I', 'lowRocketSuccessTeleop': ''}",,
cargoSuccessTeleop,,,Low,,Low,
sandstormCargoShipHatchSuccess,0,,,,,
startingHatch,,,Hab I,,Hab I,
fillChoice,,,Cargo,,None,
functional,,,No,,No,
sandstormCargoShipCargoSuccess,0,,,,,
strongMedium,,,Neither,,Neither,
teleOpCargoShipCargoFailure,0,,,,,
sandstormRocketHatchFailure,0,,,,,
sandstormCargoShipHatchFailure,0,,,,,
fillChoiceTeleop,,,Cargo,,Cargo,
contrubution,,,Weak,,Equal,
HABClimb,L1,,,,,
match,match-12,,match-26,,match-40,
hiRocketSuccessTeleop,,,N/A,,N/A,
endingHab,,,L1,,L3,
teleOpCargoShipCargoSuccess,0,,,,,
