sandstormRocketCargoFailure,0,
teleOpRocketCargoSuccess,0,
sandstormRocketHatchSuccess,0,
teleOpCargoShipHatchFailure,0,
sandstormRocketCargoSuccess,0,
speed,Medium,
teamDBRef,team-3067,
sandstormCross,None,
teleOpCargoShipHatchSuccess,0,
teleOpRocketHatchSuccess,0,
sandstormCargoShipCargoFailure,0,
teleOpRocketHatchFailure,0,
teleOpRocketCargoFailure,0,
sandstormCargoShipHatchSuccess,0,
e0Q3j2NrXuYvSrgZ5UZQ89UMvXY2,,"{'notes': '', 'contribution': '', 'fillChoice': '', 'strategy': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-3067', 'speed': '', 'hiRocketSuccessTeleop': '', 'size': '', 'match': 'match-28', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': '', 'functional': '', 'lowRocketSuccessTeleop': '', 'startingHatch': ''}"
sandstormCargoShipCargoSuccess,0,
teleOpCargoShipCargoFailure,0,
sandstormRocketHatchFailure,0,
sandstormCargoShipHatchFailure,0,
HABClimb,None,
match,match-10,
teleOpCargoShipCargoSuccess,0,
