sandstormRocketCargoFailure,0,,
teleOpRocketCargoSuccess,0,,
sandstormRocketHatchSuccess,0,,
strongMediumTeleop,,Neither,
teleOpCargoShipHatchFailure,0,,
sandstormRocketCargoSuccess,0,,
size,,Small,
jouGPhPF0qME5wNIbd86MzYFsGw2,,,"{'notes': 'tried hab 3 via ramp, failed', 'contribution': 'Weak', 'fillChoice': 'Cargo', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'Mid', 'teamDBRef': 'team-2709', 'speed': '', 'hiRocketSuccessTeleop': 'N/A', 'size': 'Idk', 'match': 'match-8', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'None', 'functional': 'Yes', 'lowRocketSuccessTeleop': 'N/A', 'startingHatch': 'Hab I'}"
speed,slow,Medium,
strategy,,No mechanisms to do anything,
teamDBRef,team-2709,team-2709,
sandstormCross,None,None,
sandstormCrossBonus,,None,
teleOpCargoShipHatchSuccess,0,,
teleOpRocketHatchSuccess,0,,
sandstormCargoShipCargoFailure,0,,
lowRocketSuccessTeleop,,N/A,
teleOpRocketHatchFailure,0,,
teleOpRocketCargoFailure,0,,
cargoSuccessTeleop,,N/A,
sandstormCargoShipHatchSuccess,0,,
startingHatch,,Hab II,
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'notes': 'potato', 'contribution': '', 'fillChoice': '', 'strategy': 'wasn’t even defensive, didn’t have a grabber . absolutely useless', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-2709', 'speed': '', 'hiRocketSuccessTeleop': '', 'size': 'Small', 'match': 'match-31', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': '', 'functional': '', 'lowRocketSuccessTeleop': '', 'startingHatch': ''}",
fillChoice,,None,
sandstormCargoShipCargoSuccess,0,,
strongMedium,,Neither,
functional,,Yes,
teleOpCargoShipCargoFailure,0,,
sandstormRocketHatchFailure,0,,
sandstormCargoShipHatchFailure,0,,
fillChoiceTeleop,,None,
contrubution,,Weak,
HABClimb,None,,
TGTz9IhKPoQnv6CjEyHEJeqwhss1,"{'notes': '', 'contribution': 'Weak', 'fillChoice': '', 'strategy': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-2709', 'speed': '', 'hiRocketSuccessTeleop': '', 'size': 'Small', 'match': 'match-13', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': '', 'functional': 'No', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",,
match,match-13,match-31,
hiRocketSuccessTeleop,,N/A,
endingHab,,None,
teleOpCargoShipCargoSuccess,0,,
