sandstormCrossBonus,,,None
gmkR7hN4D1fQguey5X5V48d3PhO2,"{'notes': 'dud bot can’t complete objectives ', 'contribution': '', 'fillChoice': '', 'strategy': 'defense only', 'strongMedium': 'Neither', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-7560', 'speed': 'Fast', 'hiRocketSuccessTeleop': '', 'size': 'Small', 'match': 'match-17', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': '', 'endingHab': 'None', 'functional': '', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",,
strongMediumTeleop,,,Neither
fillChoiceTeleop,,,None
cargoSuccessTeleop,,,N/A
contrubution,,,Weak
functional,,,Yes
lowRocketSuccessTeleop,,,N/A
startingHatch,,,Hab I
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,"{'notes': 'i think it got stuck on the habitat ', 'contribution': 'Weak', 'fillChoice': '', 'strategy': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-7560', 'speed': '', 'hiRocketSuccessTeleop': '', 'size': 'Small', 'match': 'match-27', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': 'Hab 2', 'functional': 'Sorta', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab II'}",
size,,,IDK
speed,,,slow
hiRocketSuccessTeleop,,,N/A
strategy,,,None
match,,,match-50
fillChoice,,,None
endingHab,,,None
teamDBRef,,,team-7560
strongMedium,,,Neither
sandstormCross,,,None
