gmkR7hN4D1fQguey5X5V48d3PhO2,,,,"{'notes': '', 'contribution': '', 'fillChoice': 'Cargo', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Ball', 'teamDBRef': 'team-3734', 'hiRocketSuccessTeleop': 'N/A', 'speed': 'Medium', 'size': 'Medium', 'match': 'match-5', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'Hab 1', 'functional': 'Yes', 'startingHatch': 'Hab I', 'lowRocketSuccessTeleop': 'N/A'}"
sandstormRocketCargoFailure,0,,,
teleOpRocketCargoSuccess,0,,,
sandstormRocketHatchSuccess,0,,,
strongMediumTeleop,,Ball,Ball,
teleOpCargoShipHatchFailure,0,,,
sandstormRocketCargoSuccess,0,,,
size,,Medium,IDK,
speed,slow,Medium,Medium,
strategy,,Cargo ship cargo,,
teamDBRef,team-3734,team-3734,team-3734,
sandstormCross,L1,L1,L1,
sandstormCrossBonus,,L1,L1,
teleOpCargoShipHatchSuccess,0,,,
teleOpRocketHatchSuccess,0,,,
sandstormCargoShipCargoFailure,0,,,
lowRocketSuccessTeleop,,N/A,N/A,
teleOpRocketHatchFailure,0,,,
teleOpRocketCargoFailure,0,,,
cargoSuccessTeleop,,Mid,Mid,
sandstormCargoShipHatchSuccess,0,,,
startingHatch,,Hab I,Hab I,
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'notes': 'awesome autonomous, ball into cargo. slow mechanics with high accuracy', 'contribution': '', 'fillChoice': 'Cargo', 'strategy': 'Defensive, yet still placed balls in cargo ', 'strongMedium': 'Ball', 'cargoSuccessTeleop': 'High', 'teamDBRef': 'team-3734', 'speed': 'Slow', 'hiRocketSuccessTeleop': '', 'size': '', 'match': 'match-29', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'Hab 1', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': ''}",,
fillChoice,,Cargo,Cargo,
sandstormCargoShipCargoSuccess,1,,,
strongMedium,,Ball,Ball,
functional,,Yes,Yes,
teleOpCargoShipCargoFailure,0,,,
sandstormRocketHatchFailure,0,,,
sandstormCargoShipHatchFailure,0,,,
fillChoiceTeleop,,Cargo,Cargo,
contrubution,,Strong,IDK,
HABClimb,L1,,,
match,match-19,match-29,match-36,
hiRocketSuccessTeleop,,N/A,N/A,
endingHab,,L1,L1,
teleOpCargoShipCargoSuccess,3,,,
