sandstormCrossBonus,,L2,L1
strongMediumTeleop,,Hatch,Neither
fillChoiceTeleop,,High Rocket,Cargo
cargoSuccessTeleop,,Mid,High
contrubution,,Strong,Equal
functional,,Yes,Yes
lowRocketSuccessTeleop,,High,N/A
startingHatch,,Hab II,Hab I
nTG6cThsi9TB9mTkcwuo5bKEo9B3,"{'notes': '', 'contribution': 'Great', 'fillChoice': 'Cargo', 'strategy': 'ball in cargo ship ', 'strongMedium': 'Ball', 'cargoSuccessTeleop': 'High', 'teamDBRef': 'team-2451', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'size': 'Large', 'match': 'match-23', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'None', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab II'}",,
size,,Small,Medium
speed,,Medium,Ludicrous
hiRocketSuccessTeleop,,High,N/A
strategy,,"Cargo ship, then rocket hatch",
match,,match-35,match-41
fillChoice,,Cargo,Cargo
endingHab,,L1,None
teamDBRef,,team-2451,team-2451
strongMedium,,Ball,Ball
sandstormCross,,L2,L1
